results_code,version,area_code,season,period,species_code,species_id,years,year_start,year_end,trnd,lower_ci,upper_ci,index_type,stderr,model_type,model_fit,percent_change,percent_change_low,percent_change_high,prob_decrease_0,prob_decrease_25,prob_decrease_30,prob_decrease_50,prob_increase_0,prob_increase_33,prob_increase_100,suitability,precision_num,precision_cat,coverage_num,coverage_cat,sample_size,sample_size_units,prob_LD,prob_MD,prob_LC,prob_MI,prob_LI
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BCCWS/PSSS,2025,1,winter,all years,AMWI,420,2008-2024,2008,2024,-1.8778266914571,-3.12411850206585,-0.659314596487842,Slope Trend,,ALPHA SPATIAL SPDE,,-25.7268287042411,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,100,winter,all years,AMWI,420,2008-2024,2008,2024,-2.75067388181389,-4.990679769445,-0.586640641517041,Slope Trend,,ALPHA SPATIAL SPDE,,-25.871622675806,,,,,,,,,,,,Medium,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,101,winter,all years,AMWI,420,2008-2024,2008,2024,-2.34900842927324,-4.59826613400647,-0.176037159012867,Slope Trend,,ALPHA SPATIAL SPDE,,-22.4333348252744,,,,,,,,,,,,Medium,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,102,winter,all years,AMWI,420,2008-2024,2008,2024,-2.66840557724219,-4.9103064033162,-0.502541667748734,Slope Trend,,ALPHA SPATIAL SPDE,,-25.178897671908,,,,,,,,,,,,Medium,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,104,winter,all years,AMWI,420,2008-2024,2008,2024,-6.89794836274518,-9.04242742643081,-4.8262020327192,Slope Trend,,ALPHA SPATIAL SPDE,,-54.1030683930255,,,,,,,,,,,,Medium,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,105,winter,all years,AMWI,420,2008-2024,2008,2024,-0.945994232852238,-3.22756846034053,1.25819750421089,Slope Trend,,ALPHA SPATIAL SPDE,,-9.2546537439893,,,,,,,,,,,,Medium,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,106,winter,all years,AMWI,420,2008-2024,2008,2024,-7.28465912632874,-9.42023083382165,-5.22151804818653,Slope Trend,,ALPHA SPATIAL SPDE,,-56.1570791094275,,,,,,,,,,,,Medium,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,11,winter,all years,AMWI,420,2008-2024,2008,2024,-2.25005928398642,-3.4916232087762,-1.03616969074989,Slope Trend,,ALPHA SPATIAL SPDE,,-30.1089654351466,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,114,winter,all years,AMWI,420,2008-2024,2008,2024,-8.48325090605455,-10.9586261527709,-6.57654149740384,Slope Trend,,ALPHA SPATIAL SPDE,,-58.4891343656099,,,,,,,,,,,,Medium,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,115,winter,all years,AMWI,420,2008-2024,2008,2024,-5.26604040683457,-7.82843582540022,-3.29230189597902,Slope Trend,,ALPHA SPATIAL SPDE,,-41.3574503994266,,,,,,,,,,,,Medium,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,118,winter,all years,AMWI,420,2008-2024,2008,2024,-5.40808806857299,-7.96664133508228,-3.43730905546833,Slope Trend,,ALPHA SPATIAL SPDE,,-42.230849396964,,,,,,,,,,,,Medium,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,12,winter,all years,AMWI,420,2008-2024,2008,2024,-1.34810375665325,-2.71350700722941,-0.05860646452095,Slope Trend,,ALPHA SPATIAL SPDE,,-18.9716651749938,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,120,winter,all years,AMWI,420,2008-2024,2008,2024,-7.01173758322999,-9.52691480816993,-5.07436987076754,Slope Trend,,ALPHA SPATIAL SPDE,,-51.3102807420426,,,,,,,,,,,,Medium,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,121,winter,all years,AMWI,420,2008-2024,2008,2024,-0.192962726257261,-2.89257642496831,1.88647102661835,Slope Trend,,ALPHA SPATIAL SPDE,,-1.19757943715343,,,,,,,,,,,,Medium,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,122,winter,all years,AMWI,420,2008-2024,2008,2024,-4.70878396455995,-7.28625223937252,-2.72343527183021,Slope Trend,,ALPHA SPATIAL SPDE,,-37.8151435249175,,,,,,,,,,,,Medium,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,123,winter,all years,AMWI,420,2008-2024,2008,2024,-4.73547873783611,-7.31222496360697,-2.75068621843934,Slope Trend,,ALPHA SPATIAL SPDE,,-37.9891280353013,,,,,,,,,,,,Medium,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,126,winter,all years,AMWI,420,2008-2024,2008,2024,-11.7244794187415,-14.1121848464499,-9.88529951656818,Slope Trend,,ALPHA SPATIAL SPDE,,-71.0559820517343,,,,,,,,,,,,Medium,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,127,winter,all years,AMWI,420,2008-2024,2008,2024,-7.05948433684661,-9.57337009182959,-5.12311140605259,Slope Trend,,ALPHA SPATIAL SPDE,,-51.5597113311381,,,,,,,,,,,,Medium,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,129,winter,all years,AMWI,420,2008-2024,2008,2024,-8.24497699138832,-10.7267971496224,-6.33330325523004,Slope Trend,,ALPHA SPATIAL SPDE,,-57.3956023420888,,,,,,,,,,,,Medium,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,131,winter,all years,AMWI,420,2008-2024,2008,2024,-5.60945974296212,-8.16256624193315,-3.64287621614818,Slope Trend,,ALPHA SPATIAL SPDE,,-43.4489512457608,,,,,,,,,,,,Medium,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,14,winter,all years,AMWI,420,2008-2024,2008,2024,2.4795721505489,1.06119149837314,3.81910170668678,Slope Trend,,ALPHA SPATIAL SPDE,,48.9864497788705,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,18,winter,all years,AMWI,420,2008-2024,2008,2024,1.02671375905653,-0.435472536950163,2.37570768442693,Slope Trend,,ALPHA SPATIAL SPDE,,18.5437964855326,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,19,winter,all years,AMWI,420,2008-2024,2008,2024,-0.859165483311048,-2.42625815337007,0.543639972467517,Slope Trend,,ALPHA SPATIAL SPDE,,-12.2634197877137,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,2,winter,all years,AMWI,420,2008-2024,2008,2024,-0.958033904097824,-2.21600839742435,0.271900467798985,Slope Trend,,ALPHA SPATIAL SPDE,,-13.7685925881078,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,20,winter,all years,AMWI,420,2008-2024,2008,2024,0.935905567027855,-0.346124663886447,2.18935947660805,Slope Trend,,ALPHA SPATIAL SPDE,,16.7584621544618,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,21,winter,all years,AMWI,420,2008-2024,2008,2024,-1.41003527288918,-2.66226870295432,-0.185713996547061,Slope Trend,,ALPHA SPATIAL SPDE,,-19.8541930156697,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,22,winter,all years,AMWI,420,2008-2024,2008,2024,-1.90799484833304,-3.15390348024131,-0.689857391050615,Slope Trend,,ALPHA SPATIAL SPDE,,-26.0913579746934,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,23,winter,all years,AMWI,420,2008-2024,2008,2024,-1.52409518777424,-2.77487989393686,-0.301190343428606,Slope Trend,,ALPHA SPATIAL SPDE,,-21.324936112729,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,24,winter,all years,AMWI,420,2008-2024,2008,2024,-1.15010322591006,-2.4056381643962,0.0774459685716016,Slope Trend,,ALPHA SPATIAL SPDE,,-16.405645522809,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,25,winter,all years,AMWI,420,2008-2024,2008,2024,-1.40809801058617,-2.66035604665077,-0.183752676709781,Slope Trend,,ALPHA SPATIAL SPDE,,-19.8289918569539,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,29,winter,all years,AMWI,420,2008-2024,2008,2024,-3.11845501062906,-4.34898906881489,-1.91534942940994,Slope Trend,,ALPHA SPATIAL SPDE,,-39.4081347528926,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
