"","species_id","english_name"
"1",0,"No observations"
"2",10,"Great Tinamou"
"3",20,"Highland Tinamou"
"4",30,"Little Tinamou"
"5",40,"Thicket Tinamou"
"6",50,"Slaty-breasted Tinamou"
"7",60,"Choco Tinamou"
"8",70,"White-faced Whistling-Duck"
"9",80,"Black-bellied Whistling-Duck"
"10",90,"West Indian Whistling-Duck"
"11",100,"Fulvous Whistling-Duck"
"12",110,"Taiga/Tundra Bean-Goose"
"13",111,"Taiga Bean-Goose"
"14",112,"Tundra Bean-Goose"
"15",120,"Pink-footed Goose"
"16",130,"Greater White-fronted Goose"
"17",140,"Lesser White-fronted Goose"
"18",141,"Graylag Goose"
"19",142,"Bar-headed Goose"
"20",143,"Graylag Goose (Domestic type)"
"21",150,"Emperor Goose"
"22",160,"Snow Goose"
"23",161,"Snow Goose (blue morph)"
"24",163,"Snow Goose (Lesser)"
"25",164,"Snow Goose (Greater)"
"26",170,"Ross's Goose"
"27",180,"Brant"
"28",190,"Brant (Dark-bellied)"
"29",191,"Brant (Atlantic)"
"30",200,"Brant (Black)"
"31",205,"Brant (Dark-bellied x Black)"
"32",210,"Barnacle Goose"
"33",220,"Cackling Goose"
"34",222,"Cackling Goose (Aleutian)"
"35",230,"Canada Goose"
"36",250,"goose sp."
"37",260,"Hawaiian Goose"
"38",261,"Cackling/Canada Goose"
"39",270,"Mute Swan"
"40",271,"Black Swan"
"41",280,"Trumpeter Swan"
"42",290,"Tundra Swan"
"43",291,"Tundra Swan (Whistling)"
"44",300,"Tundra Swan (Bewick's)"
"45",301,"Swan Goose"
"46",310,"Whooper Swan"
"47",320,"swan sp."
"48",330,"Comb Duck"
"49",340,"Orinoco Goose"
"50",341,"Egyptian Goose"
"51",342,"Ruddy Shelduck"
"52",343,"Common Shelduck"
"53",350,"Muscovy Duck"
"54",351,"Muscovy Duck (Domestic type)"
"55",360,"Wood Duck"
"56",370,"Mandarin Duck"
"57",371,"Brazilian Teal"
"58",380,"Wood x Mandarin Duck (hybrid)"
"59",390,"Gadwall"
"60",400,"Falcated Duck"
"61",410,"Eurasian Wigeon"
"62",420,"American Wigeon"
"63",430,"Eurasian x American Wigeon (hybrid)"
"64",440,"American Black Duck"
"65",450,"Mallard/Mexican Duck"
"66",451,"Mallard"
"67",452,"Mexican Duck"
"68",453,"Mallard (Domestic type)"
"69",470,"Mallard x Northern Pintail (hybrid)"
"70",480,"Mottled Duck"
"71",490,"Hawaiian Duck"
"72",500,"Laysan Duck"
"73",510,"Indian/Eastern Spot-billed Duck"
"74",511,"Indian Spot-billed Duck"
"75",520,"Blue-winged Teal"
"76",530,"Cinnamon Teal"
"77",540,"Northern Shoveler"
"78",541,"Marbled Duck"
"79",550,"White-cheeked Pintail"
"80",560,"Northern or Eaton's Pintail"
"81",570,"Garganey"
"82",580,"Baikal Teal"
"83",590,"Green-winged Teal"
"84",600,"Green-winged Teal (American)"
"85",601,"Mallard or Mexican Duck"
"86",602,"Hybrid Mallard"
"87",610,"Green-winged Teal (Eurasian)"
"88",620,"Anas sp."
"89",630,"Canvasback"
"90",640,"Redhead"
"91",650,"Common Pochard"
"92",660,"Ring-necked Duck"
"93",670,"Tufted Duck"
"94",680,"Greater Scaup"
"95",690,"Lesser Scaup"
"96",695,"Greater/Lesser Scaup"
"97",700,"Aythya sp."
"98",710,"Steller's Eider"
"99",711,"Eider sp."
"100",720,"Spectacled Eider"
"101",730,"King Eider"
"102",740,"Common Eider"
"103",750,"Harlequin Duck"
"104",760,"Labrador Duck"
"105",770,"Surf Scoter"
"106",780,"Velvet/White-winged/Stejneger's Scoter"
"107",790,"Common/Black Scoter"
"108",791,"Black Scoter"
"109",800,"scoter sp."
"110",810,"Long-tailed Duck"
"111",820,"Bufflehead"
"112",830,"Common Goldeneye"
"113",840,"Barrow's Goldeneye"
"114",850,"Unidentified Goldeneye"
"115",860,"Smew"
"116",870,"Hooded Merganser"
"117",880,"Common Merganser"
"118",890,"Red-breasted Merganser"
"119",900,"Unidentified Merganser"
"120",910,"Masked Duck"
"121",920,"Ruddy Duck (Ruddy)"
"122",930,"duck sp."
"123",940,"Plain Chachalaca"
"124",950,"Gray-headed Chachalaca"
"125",960,"Rufous-vented Chachalaca"
"126",970,"Rufous-bellied Chachalaca"
"127",980,"West Mexican Chachalaca"
"128",990,"White-bellied Chachalaca"
"129",1000,"Crested Guan"
"130",1010,"Black Guan"
"131",1020,"Highland Guan"
"132",1030,"Horned Guan"
"133",1040,"Great Curassow"
"134",1050,"Chukar"
"135",1060,"Gray Francolin"
"136",1070,"Black Francolin"
"137",1080,"Erckel's Spurfowl"
"138",1090,"Himalayan Snowcock"
"139",1100,"Gray Partridge"
"140",1110,"Japanese Quail"
"141",1120,"Red Junglefowl"
"142",1130,"Kalij Pheasant"
"143",1140,"Ring-necked/Green Pheasant"
"144",1141,"Lady Amherst's Pheasant"
"145",1150,"Indian Peafowl"
"146",1160,"Ruffed Grouse"
"147",1161,"Greater/Gunnison Sage-Grouse"
"148",1170,"Greater Sage-Grouse"
"149",1180,"Gunnison Sage-Grouse"
"150",1190,"Spruce Grouse"
"151",1200,"Willow Ptarmigan"
"152",1210,"Rock Ptarmigan"
"153",1220,"White-tailed Ptarmigan"
"154",1230,"Dusky/Sooty Grouse"
"155",1240,"Dusky Grouse"
"156",1250,"Sooty Grouse"
"157",1260,"Sharp-tailed Grouse"
"158",1270,"Greater Prairie-Chicken"
"159",1280,"Lesser Prairie-Chicken"
"160",1290,"Wild Turkey"
"161",1300,"Ocellated Turkey"
"162",1310,"Helmeted Guineafowl"
"163",1320,"Bearded Wood-Partridge"
