"ProjectCode","SurveyAreaIdentifier","wyear","YearCollected","wmonth","MonthCollected","DayCollected","DecimalLatitude","DecimalLongitude","DurationInHours"
"BCCWS","GIDE-1",2008,2008,1,10,12,49.610195,-124.845947,1.41667
"BCCWS","GIDE-1",2008,2008,2,11,11,49.610195,-124.845947,1.5
"BCCWS","GIDE-1",2008,2009,4,1,11,49.610195,-124.845947,1.16667
"BCCWS","GIDE-1",2008,2009,5,2,9,49.610195,-124.845947,3
"BCCWS","GIDE-1",2008,2009,6,3,8,49.610195,-124.845947,2
"BCCWS","GIDE-1",2008,2009,7,4,12,49.610195,-124.845947,2
"BCCWS","GIDE-1",2009,2009,2,11,8,49.610195,-124.845947,1.33333
"BCCWS","GIDE-1",2009,2010,4,1,10,49.610195,-124.845947,0.916667
"BCCWS","GIDE-1",2009,2010,5,2,14,49.610195,-124.845947,3
"BCCWS","GIDE-1",2009,2010,6,3,14,49.610195,-124.845947,1.75
"BCCWS","GIDE-1",2009,2010,7,4,11,49.610195,-124.845947,2.25
"BCCWS","GIDE-1",2010,2010,1,10,11,49.610195,-124.845947,1.25
"BCCWS","GIDE-1",2010,2010,2,11,14,49.610195,-124.845947,2.5
"BCCWS","GIDE-1",2010,2011,4,1,9,49.610195,-124.845947,2.08333
"BCCWS","GIDE-1",2010,2011,5,2,13,49.610195,-124.845947,1.5
"BCCWS","GIDE-1",2010,2011,6,3,16,49.610195,-124.845947,0.833333
"BCCWS","GIDE-1",2010,2011,7,4,10,49.610195,-124.845947,1.75
"BCCWS","GIDE-1",2011,2011,1,10,16,49.610195,-124.845947,2.5
"BCCWS","GIDE-1",2011,2011,2,11,11,49.610195,-124.845947,0.75
"BCCWS","GIDE-1",2011,2012,4,1,11,49.610195,-124.845947,3
"BCCWS","GIDE-1",2011,2012,5,2,12,49.610195,-124.845947,0.833333
"BCCWS","GIDE-1",2011,2012,6,3,10,49.610195,-124.845947,0.75
"BCCWS","GIDE-1",2011,2012,7,4,8,49.610195,-124.845947,2.5
"BCCWS","GIDE-1",2012,2012,2,11,10,49.610195,-124.845947,2.5
"BCCWS","GIDE-1",2012,2013,4,1,13,49.610195,-124.845947,2
"BCCWS","GIDE-1",2012,2013,6,3,10,49.610195,-124.845947,3
